Day,Time,Event Name,Focus Group,Venue,Description,Category
,5:30 PM – 7:30 PM,Dinner,ALL,Convention Hall,Social gathering followed by Plated Dinner,
,Break,,,,,
,6:30 PM – 8:15 PM,Closing Ceremony,ALL,Convention Hall,Formal concluding session,
,Break,,,,,
,8:30 PM – 10:30 PM,Performance by Celebrity Artists ,ALL,Convention Hall,"Jayaram, Stephen Devassy, Nitya Mammen",
,,,,,,
" Sunday July 12, 2026",6:30 AM – 8:00 AM,Breakfast,ALL,Convention Hall,Buffet breakfast,
,7:00 AM – 8:00 AM,Traveler’s Qurbana,Early Travelers,Convention Hall,Holy Qurbana for early departures,
,Break,,,,,
,8:15 AM – 8:45 AM,Vote of Thanks,ALL,Convention Hall,Appreciation remarks,
,9:00 AM – 10:30 AM,Holy Qurbana,ALL,Convention Hall,Solemn closing Qurbana,
